epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
0,0.5,11151,-1119.7984,0.0
1,0.49,21181,-1118.2196000000001,0.0
2,0.48,29440,-1122.2806,0.02
3,0.47,36733,-1104.0532,0.0
epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
0,0.5,8945,-1083.4137999999998,0.0
1,0.49,16373,-1083.128,0.0
epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
0,0.5,9057,-1096.9173999999998,0.0
1,0.49,16708,-1087.7166000000002,0.0
2,0.48,23737,-1077.7122000000002,0.0
3,0.47,30969,-1083.507,0.0
4,0.45999999999999996,36847,-1086.7282,0.0
5,0.44999999999999996,42420,-1089.1283999999998,0.0
6,0.43999999999999995,48654,-1098.215,0.0
7,0.42999999999999994,54173,-1086.7488,0.0
8,0.41999999999999993,59433,-1077.0146000000002,0.0
9,0.4099999999999999,64771,-1090.5444,0.0
10,0.3999999999999999,70512,-1090.8673999999999,0.0
11,0.3899999999999999,75377,-1083.8572,0.0
12,0.3799999999999999,79446,-1084.2892,0.0
13,0.3699999999999999,83632,-1076.8286,0.0
14,0.3599999999999999,88113,-1087.2338,0.0
15,0.34999999999999987,93061,-1099.5846000000001,0.0
16,0.33999999999999986,98261,-1105.536,0.0
17,0.32999999999999985,102581,-1087.408,0.0
18,0.31999999999999984,107367,-1087.1348,0.0
19,0.30999999999999983,111562,-1079.6598000000001,0.0
20,0.2999999999999998,115429,-1106.6572,0.0
21,0.2899999999999998,120251,-1070.4782000000002,0.0
22,0.2799999999999998,124538,-1066.2067999999997,0.0
23,0.2699999999999998,128993,-1100.9311999999998,0.0
24,0.2599999999999998,132639,-1090.7536,0.0
25,0.24999999999999978,136488,-1105.0532,0.01
26,0.23999999999999977,140607,-1099.0952000000002,0.0
27,0.22999999999999976,145037,-1090.3507999999997,0.0
28,0.21999999999999975,149709,-1085.339,0.0
29,0.20999999999999974,153961,-1097.6773999999998,0.0
30,0.19999999999999973,158332,-1091.3824,0.0
31,0.18999999999999972,162150,-1081.1003999999998,0.0
32,0.17999999999999972,166689,-1116.295,0.0
33,0.1699999999999997,170814,-1095.8116,0.0
34,0.1599999999999997,175085,-1097.3128000000004,0.0
35,0.1499999999999997,178946,-1103.8056000000001,0.0
36,0.13999999999999968,183299,-1100.627,0.0
37,0.12999999999999967,187467,-1097.8716000000002,0.0
38,0.11999999999999968,191319,-1083.5734,0.0
39,0.10999999999999968,195497,-1098.6536,0.0
40,0.09999999999999969,199344,-1092.2756000000002,0.01
41,0.08999999999999969,203439,-1110.2543999999998,0.0
42,0.0799999999999997,207246,-1108.7038,0.0
43,0.0699999999999997,211204,-1114.7372,0.0
44,0.0599999999999997,214852,-1092.0032,0.0
45,0.0499999999999997,219124,-1109.5412,0.0
46,0.039999999999999696,223177,-1098.4472000000003,0.0
47,0.029999999999999694,227177,-1110.475,0.0
