circle_5_10,0,1,2,3,4,5
2101200111111-04+00,-35.693,-38.432,-35.804,-35.266,-39.336,-34.616
0010020011111-03+01,-38.486,-32.407,-28.96,-49.329,-96.034,-34.783
2101200111111-04-01,-75.059,-42.66,-49.166,-42.094,-96.945,-42.88
3021010110011-03-01,-41.933,-27.465,-54.499,-31.101,-24.544,-5.158
0010020011111-04+00,-42.781,-71.79,-27.757,-60.723,-45.161,-25.277
6021010110011-03-01,-26.326,-17.0,-23.644,-19.536,-28.569,-12.676
2101203111111-04-01,-38.123,-39.406,-61.022,-40.294,-73.958,-44.3
0010020311111-04+00,-30.388,-46.516,-47.027,-27.746,-51.514,-60.206
0010020311111-04+01,-7.251,-19.332,-15.055,-13.376,-42.489,-31.269
0010020311111-03+01,-13.531,-20.835,-15.175,-19.269,-35.945,-13.916
0010020611111-03+01,-7.783,-7.816,-7.846,-7.878,-23.43,-7.691
0017027711111-03+01,-6.07,-3.05,0.0,0.0,0.0,0.0
0101110021111+00+04,-16.7,-28.242,-31.763,-30.185,-27.561,-29.972
0101110021111-01+04,-58.658,-43.114,-48.991,-16.589,-25.055,-34.354
2010100201111+00+03,-3.426,-8.713,-2.393,-3.841,-5.709,-6.923
0101110021111+00+03,-20.869,-20.727,-27.446,-53.878,-30.652,-13.931
2010100201111+00+02,-23.299,-33.536,-25.544,-24.537,-59.423,-19.674
2010100231111+00+02,-8.02,-6.181,-12.309,-22.075,-3.291,-6.601
0102110101001+01+03,-10.292,-11.834,-31.675,-20.777,-31.317,-23.693
0102110101001+01+04,-34.367,-15.972,-15.349,-8.713,-64.936,-23.304
0102110101001+00+04,-44.361,-41.485,-50.928,-17.237,-55.999,-38.05
0101110221010+01+04,-26.397,-23.741,-40.205,-11.012,-75.652,-33.461
0102110101001-01+04,-13.793,-15.219,-13.271,-13.543,-26.343,-17.869
0102110101001-02+04,-47.157,-60.174,-45.8,-2.922,-72.258,-66.186
0102110101001-03+04,-15.252,-17.602,-48.963,-19.167,-21.088,-40.046
0102110101001-03+03,-107.565,-12.258,-59.332,-43.602,-41.518,-68.445
0102110101001-03+02,-84.663,-9.289,-15.225,-16.174,-21.054,-19.71
0102110101001-02+02,-7.087,-12.718,-11.231,-11.278,-41.049,-10.063
0102113101001-02+02,-6.827,-5.15,-7.208,-7.241,-13.227,0.0
0102113101001-03+02,-6.855,-9.096,-5.414,-5.426,-7.291,-20.417
0102113101001-03+03,-35.194,-18.834,-35.408,-17.631,-20.299,-74.095
0131110001111-04+03,-53.224,-64.891,-39.094,-83.504,-38.763,-82.131
2310100001111-04+02,-7.017,-6.678,-6.703,-5.56,-16.003,-6.556
0161110001111-04+03,-55.613,-71.655,-45.628,-59.36,-75.86,-71.301
2610100001111-04+02,-15.48,-7.165,-7.192,-5.757,-31.82,-4.794
2710170001111-04+02,-7.97,-6.068,-6.098,0.0,0.0,0.0
7171117001111-04+03,-9.059,-9.059,-11.821,-8.91,-8.91,-8.91
